STABR,POPU_ST,CENTLIB,BRANLIB,BKMOB,MASTER,LIBRARIA,TOTSTAFF,LOCGVT,STGVT,FEDGVT,OTHINCM,TOTINCM,SALARIES,STAFFEXP,PRMATEXP,ELMATEXP,OTHMATEX,TOTEXPCO,OTHOPEXP,TOTOPEXP,LCAP_REV,SCAP_REV,FCAP_REV,OCAP_REV,CAP_REV,CAPITAL,BKVOL,EBOOK,DB_LO_OT,DB_ST,DATABASE,SUBSCRIP,HRS_OPEN,VISITS,REGBOR,TOTCIR,ELMATCIR,GPTERMS,PITUSR,FIPSST
ID,1407299,100,44,12,92.65,213.31,761.39,$43730254.00,$1179496.00,$60880.00,$3834754.00,$48805384.00,$22462939.00,$29572733.00,$3658285.00,$582489.00,$651854.00,$4892628.00,$10587974.00,$45053335.00,$1481482.00,$6815.00,$22597.00,$203400.00,$1714294.00,$6631849.00,4357460,78622,185,4590,4775,6351,276856,8898059,801245,14789151,526134,1812,2065537,16
IL,12830632,625,154,19,2109.32,3137.13,8634.66,$703234516.00,$32047049.00,$3477496.00,$38800305.00,$777559366.00,$365815272.00,$457281595.00,$49319438.00,$17702592.00,$13822368.00,$80844398.00,$163440247.00,$701566240.00,$66058521.00,$1767171.00,$167262.00,$9406168.00,$77399122.00,$89200394.00,43400357,4265531,7622,13750,21372,100715,1921078,75531075,6814354,119391577,-1,14911,14557951,17
IN,6483802,237,195,29,950.41,1433.9,4416.7,$274995673.00,$19316931.00,$981114.00,$14813064.00,$310106782.00,$142499025.00,$188201934.00,$25545205.00,$8318980.00,$8453713.00,$42317898.00,$70766797.00,$301286629.00,$26158769.00,$1681345.00,$44485.00,$1025696.00,$28910295.00,$32736772.00,24066234,2124076,2006,14694,16700,47691,1093741,36944165,3757048,77560456,8134837,8522,7770927,18
KS,2885905,328,48,3,261.15,665.69,1709.04,$100577071.00,$3684731.00,$189912.00,$11770106.00,$116221820.00,$56531530.00,$72831608.00,$7924610.00,$2919819.00,$3020534.00,$13864963.00,$25271220.00,$111967791.00,$1993910.00,$0.00,$0.00,$1313772.00,$3307682.00,$2245378.00,9339647,121624,381,16728,17109,16107,683714,14228833,1686821,26315187,1343322,3659,3914295,20
KY,4380415,119,86,75,343.33,1158.9,2200.47,$162585031.00,$5494211.00,$1106541.00,$8474796.00,$177660579.00,$61679977.00,$84893654.00,$10780013.00,$3886998.00,$4128713.00,$18795724.00,$30791725.00,$134481103.00,$2468524.00,$401500.00,$258073.00,$1738262.00,$4866359.00,$30991573.00,8878375,5351514,1210,3650,4860,30376,630503,19377816,2575787,30117115,1426816,4777,4645371,21
LA,4625470,68,270,25,443.35,1043.07,2609.58,$212815689.00,$5396083.00,$524037.00,$6479245.00,$225215054.00,$83181003.00,$113517836.00,$12663915.00,$4687018.00,$4388466.00,$21739399.00,$55961237.00,$191218472.00,$8409993.00,$0.00,$376399.00,$28410.00,$8814802.00,$52097693.00,11649410,523986,623,5032,5655,27204,786903,16838235,2450520,20286867,-1,5198,6629527,22
MA,6584601,370,91,4,1239.71,1790.71,3702.75,$242020548.00,$6902975.00,$660224.00,$21105407.00,$270689154.00,$174382391.00,$201938493.00,$22663661.00,$4977599.00,$6823025.00,$34464285.00,$46847849.00,$283250627.00,$27847906.00,$13589709.00,$491989.00,$7653740.00,$49583344.00,$37110180.00,32124590,3641624,4920,15170,20090,45028,905481,42544324,3336872,63517098,343899,6235,7760669,25
MD,5773552,14,174,19,642.24,1308.54,3359.91,$191211728.00,$48640593.00,$770921.00,$27717106.00,$268340348.00,$135460340.00,$184869833.00,$18976304.00,$6212620.00,$7288384.00,$32477308.00,$37607175.00,$254954316.00,$36437192.00,$3073026.00,$0.00,$166800.00,$39677018.00,$32761426.00,12926952,1527589,550,216,766,27834,468268,28491536,3369292,57538130,-1,4824,6909651,24
ME,1328302,266,6,1,151.85,338.87,673.7,$31700690.00,$363631.00,$56112.00,$11092084.00,$43212517.00,$23782256.00,$29550712.00,$3236289.00,$283660.00,$658137.00,$4178086.00,$9583932.00,$43312730.00,$3694410.00,$0.00,$19766.00,$5434430.00,$9148606.00,$7573773.00,6404097,1127476,17434,61,17495,9872,385829,7055329,761020,9551051,400004,1950,1313420,23
MI,9883640,384,257,9,1237.39,1786.15,4770.73,$359366055.00,$7273821.00,$775252.00,$22608015.00,$390023143.00,$172899613.00,$237214903.00,$25447265.00,$6107673.00,$9533644.00,$41088582.00,$91515620.00,$369819105.00,$7894418.00,$52025.00,$355389.00,$4617517.00,$12919349.00,$25797766.00,33410694,2013134,1344,18551,19895,64112,1433976,52947161,5014084,86875002,4927497,11737,11580970,26
MN,5368972,128,228,8,534.51,741.38,2158.34,$178142648.00,$10322455.00,$187784.00,$18264445.00,$206917332.00,$97261220.00,$129387724.00,$14853487.00,$4003330.00,$4236511.00,$23093328.00,$48168222.00,$200649274.00,$17720042.00,$0.00,$0.00,$691711.00,$18411753.00,$19983853.00,14779421,3299010,1007,5895,6902,26684,712043,25305752,4258248,54318274,3155676,5957,5813135,27
MO,6021988,140,223,24,281.24,823.13,3140.93,$209926478.00,$3683626.00,$1816972.00,$14681011.00,$230108087.00,$99004556.00,$128255637.00,$19034344.00,$7687869.00,$7353820.00,$34076033.00,$46670333.00,$209002003.00,$3065848.00,$0.00,$13275.00,$725960.00,$3805083.00,$42178670.00,17194119,342116,1448,1632,3080,78975,905403,30299106,3323762,56141122,1911655,4917,6808351,29
MP,53883,1,1,0,-1,-1,-1,$-1.00,$-1.00,$-1.00,$-1.00,$-1.00,$-1.00,$-1.00,$-1.00,$-1.00,$-1.00,$-1.00,$-1.00,$-1.00,$-1.00,$-1.00,$-1.00,$-1.00,$-1.00,$-1.00,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,69
MS,2991207,49,186,2,124.3,684.13,1139.46,$35745963.00,$9553831.00,$1307145.00,$6151767.00,$52758706.00,$24137841.00,$32246253.00,$3095882.00,$634823.00,$674190.00,$4404895.00,$12291796.00,$48942944.00,$229078.00,$30011.00,$18750.00,$109368.00,$387207.00,$784300.00,5686530,47942,189,2701,2890,7001,440356,9652486,1557245,8033915,107432,2702,2578203,28
MT,988533,82,32,4,67.2,184.33,362.27,$23238550.00,$277855.00,$107950.00,$1666796.00,$25291151.00,$12625039.00,$16826675.00,$1857224.00,$452375.00,$442086.00,$2751685.00,$4352876.00,$23931236.00,$11019145.00,$68000.00,$160000.00,$99587.00,$11346732.00,$11663160.00,2630100,861509,134,2460,2594,4481,221156,4655040,482214,6257814,326525,1192,1524655,30
NC,9765229,69,315,25,717.03,758.79,2881.07,$177235044.00,$14040630.00,$1675778.00,$13356233.00,$206307685.00,$101880235.00,$137513543.00,$15134868.00,$3095820.00,$2682012.00,$20912700.00,$36341675.00,$194767918.00,$1385069.00,$21221.00,$214698.00,$290515.00,$1911503.00,$22832002.00,16516721,2897629,487,5360,5847,22525,919045,35655287,5441968,52887956,1923426,7591,8582110,37
ND,723393,81,4,11,39.8,126.34,231.19,$14576285.00,$1220241.00,$2857.00,$1245134.00,$17044517.00,$7979380.00,$10153339.00,$1649186.00,$360246.00,$310080.00,$2319512.00,$3585202.00,$16058053.00,$324267.00,$4114.00,$23310.00,$36814.00,$388505.00,$370257.00,2372102,300230,1739,2050,3789,3968,144531,2211560,274797,4168369,232669,740,590772,38
NE,1855525,267,19,7,116.09,353.22,797.26,$50389219.00,$545423.00,$530380.00,$3303379.00,$54768401.00,$26275053.00,$34322365.00,$4873230.00,$1519117.00,$1018108.00,$7410455.00,$9868905.00,$51601725.00,$1032868.00,$0.00,$14000.00,$1647336.00,$2694204.00,$2454500.00,5919866,1819821,857,5353,6210,13687,446485,8648076,1046619,13385306,592962,2966,2264072,31
NH,1316470,230,5,0,213.19,465.07,800.45,$51651588.00,$34812.00,$4646.00,$4257315.00,$55948361.00,$31573096.00,$41046510.00,$4236050.00,$744516.00,$1074215.00,$6054781.00,$8933310.00,$56034601.00,$1030356.00,$0.00,$0.00,$1290637.00,$2320993.00,$9854278.00,5957677,3141169,803,5278,6081,11647,385031,7527157,814407,10886298,586364,1441,1019560,33
NJ,8791894,296,145,12,1378.89,1412.76,4848.07,$448175147.00,$3768234.00,$537577.00,$20300445.00,$472781403.00,$231272242.00,$325210938.00,$28507193.00,$5753212.00,$8229489.00,$42489894.00,$83464445.00,$451165277.00,$16511364.00,$21582.00,$3664.00,$854382.00,$17390992.00,$14852849.00,28590655,2189226,4250,8288,12538,48556,1183634,46701193,4490318,58993639,2086994,7875,10363620,34
NM,2085287,92,26,1,124.1,278.09,650.35,$41566150.00,$1620894.00,$423419.00,$2027620.00,$45638083.00,$20744637.00,$28712318.00,$4114772.00,$1325924.00,$1178789.00,$6619485.00,$8789448.00,$44121251.00,$5866720.00,$608298.00,$107176.00,$964218.00,$7546412.00,$6210128.00,4311902,88270,351,4140,4491,6471,252265,7305862,951378,9201597,383026,1543,2132482,35
NV,2745164,18,69,3,167.98,208.56,776.71,$64441807.00,$20689322.00,$1139303.00,$3745380.00,$90015812.00,$39073547.00,$53469713.00,$6119934.00,$1777221.00,$2276704.00,$10173859.00,$13905064.00,$77548636.00,$17050.00,$0.00,$84465.00,$46153.00,$147668.00,$977676.00,4127780,135641,175,756,931,6327,164037,10817924,1323599,20953287,830046,1383,2341853,32
NY,19378102,755,306,6,3243.7,4093.91,11727.58,$1037531842.00,$44776347.00,$7987482.00,$125459609.00,$1215755280.00,$581343206.00,$838279851.00,$59564263.00,$19119792.00,$16528247.00,$95212302.00,$221885720.00,$1155377873.00,$18490556.00,$7988353.00,$203963.00,$50462586.00,$77145458.00,$95851878.00,70954927,9467822,12184,8316,20500,150656,2369944,111167172,10477671,153715101,9337170,18615,22903988,36
OH,11529465,238,472,55,1948.72,2850.56,8865.58,$328276452.00,$351301422.00,$479252.00,$78586461.00,$758643587.00,$331294486.00,$436452443.00,$46638430.00,$18455233.00,$32863507.00,$97957170.00,$140271628.00,$674681241.00,$9000.00,$99467.00,$0.00,$194234443.00,$194342910.00,$84446245.00,43542589,30201183,4142,22591,26733,131041,1871538,86418753,8968809,185348458,10110357,12454,21344949,39
